연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
평년,0,0,0,0,0,0,0,0,0,0,0,0,0,
최근 10년,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,
최근  5년,0.4,0,0,0,0,0,0,0,0,0,0,0,0.4,
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2016,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2017,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2019,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2021,1,0,0,0,0,0,0,0,0,0,0,0,1,2
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2023,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2024,0,0,0,0,0,0,0,0,0,0,0,0,0,3
